ID,Membrshp Start Dt,Membrshp End Dt,Role,SPORT,years_org,
424856,8/1/2020,5/1/2021,Member,ABSA,0.7479452055,
424937,8/1/2020,5/1/2021,Member,ABSA,0.7479452055,
425031,8/1/2020,6/1/2024,Member,ABSA,3.835616438,
425246,8/1/2020,5/1/2022,Member,ABSA,1.747945205,
425647,8/1/2020,6/1/2024,Varsity,ABSA,3.835616438,
425718,8/1/2020,5/1/2022,Varsity,ABSA,1.747945205,
426977,8/1/2020,12/1/2020,Member,ABSA,0.3342465753,
427496,8/1/2020,5/1/2021,Varsity,ABSA,0.7479452055,
427766,8/1/2020,,Varsity,ABSA,-120.6684932,
429707,9/1/2021,1/11/2022,Member,ABSA,0.3616438356,
430069,8/1/2020,6/1/2023,Member,ABSA,2.832876712,
430363,8/1/2020,12/1/2020,Member,ABSA,0.3342465753,
430470,8/1/2020,12/1/2020,Member,ABSA,0.3342465753,
430809,8/1/2020,6/1/2023,Varsity,ABSA,2.832876712,
431159,8/1/2020,6/1/2024,Member,ABSA,3.835616438,
433896,8/1/2020,12/1/2020,Member,ABSA,0.3342465753,
434587,8/1/2020,12/1/2020,Member,ABSA,0.3342465753,
434663,8/1/2020,6/1/2024,Varsity,ABSA,3.835616438,
434935,8/1/2020,6/1/2023,Varsity,ABSA,2.832876712,
435303,8/1/2020,6/1/2023,Member,ABSA,2.832876712,
437464,8/1/2020,5/1/2022,Member,ABSA,1.747945205,
437744,8/1/2020,12/1/2020,Member,ABSA,0.3342465753,
437976,8/1/2020,5/1/2021,Varsity,ABSA,0.7479452055,
438597,8/1/2020,6/1/2023,Member,ABSA,2.832876712,
438879,8/1/2020,10/1/2020,Member,ABSA,0.1671232877,
442501,9/1/2021,6/1/2023,Member,ABSA,1.747945205,
443669,9/1/2021,5/1/2024,Member,ABSA,2.665753425,
444451,9/1/2021,,Varsity,ABSA,-121.7534247,
444730,9/1/2021,5/1/2022,Varsity,ABSA,0.6630136986,
444783,1/18/2021,5/1/2021,Varsity,ABSA,0.2821917808,
445644,9/1/2021,,Varsity,ABSA,-121.7534247,
446072,9/1/2021,,Member,ABSA,-121.7534247,
446097,9/1/2021,,Member,ABSA,-121.7534247,
446376,9/1/2021,,Member,ABSA,-121.7534247,
446537,9/1/2021,5/1/2022,Member,ABSA,0.6630136986,
446654,9/1/2021,,Varsity,ABSA,-121.7534247,
446672,9/1/2021,,Member,ABSA,-121.7534247,
447285,9/1/2021,5/1/2022,Member,ABSA,0.6630136986,
448811,9/1/2021,12/1/2022,Member,ABSA,1.249315068,
451669,9/1/2021,5/1/2022,Member,ABSA,0.6630136986,
454241,9/1/2021,5/1/2022,Varsity,ABSA,0.6630136986,
454319,9/1/2022,3/1/2023,Member,ABSA,0.495890411,
454599,9/1/2021,5/1/2022,Varsity,ABSA,0.6630136986,
455144,9/1/2021,6/1/2024,Varsity,ABSA,2.750684932,
455250,9/1/2021,6/1/2023,Member,ABSA,1.747945205,
455409,9/1/2021,6/1/2023,Member,ABSA,1.747945205,
456492,9/1/2022,,Varsity,ABSA,-122.7534247,
457113,9/1/2022,12/15/2023,Member,ABSA,1.287671233,
457280,9/1/2022,,Member,ABSA,-122.7534247,
457636,1/1/2022,5/1/2022,Member,ABSA,0.3287671233,
458402,9/1/2022,5/1/2023,Member,ABSA,0.6630136986,
459556,9/1/2024,,Member,ABSA,-124.7561644,
459610,9/1/2022,5/1/2023,Member,ABSA,0.6630136986,
459840,9/1/2022,,Member,ABSA,-122.7534247,
459896,9/1/2022,,Member,ABSA,-122.7534247,
460380,9/1/2022,,Varsity,ABSA,-122.7534247,
460941,9/1/2022,12/15/2023,Varsity,ABSA,1.287671233,
461128,9/1/2022,6/1/2024,Member,ABSA,1.750684932,
